GeneID	InterPro
FUN_000077	IPR000719 Protein kinase domain;IPR001245 Serine-threonine/tyrosine-protein kinase, catalytic domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000078	IPR008030 NmrA-like domain;IPR036291 NAD(P)-binding domain superfamily
FUN_000079	IPR001433 Oxidoreductase FAD/NAD(P)-binding;IPR001834 NADH:cytochrome b5 reductase-like;IPR008333 Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain;IPR017927 FAD-binding domain, ferredoxin reductase-type;IPR017938 Riboflavin synthase-like beta-barrel;IPR039261 Ferredoxin-NADP reductase (FNR), nucleotide-binding domain
FUN_000080	
FUN_000081	
FUN_000082	
FUN_000083	IPR000306 FYVE zinc finger;IPR001841 Zinc finger, RING-type;IPR007461 Ysc84 actin-binding domain;IPR011011 Zinc finger, FYVE/PHD-type;IPR013083 Zinc finger, RING/FYVE/PHD-type;IPR017455 Zinc finger, FYVE-related
FUN_000084	
FUN_000085	
FUN_000086	
FUN_000087	IPR000923 Blue (type 1) copper domain;IPR001235 Blue (type 1) copper protein, plastocyanin-type;IPR002387 Plastocyanin;IPR008972 Cupredoxin;IPR028871 Blue (type 1) copper protein, binding site
FUN_000088	IPR002164 Nucleosome assembly protein (NAP);IPR037231 NAP-like superfamily
FUN_000089	IPR005069 Nucleotide-diphospho-sugar transferase
FUN_000090	IPR004147 ABC1 atypical kinase-like domain;IPR011009 Protein kinase-like domain superfamily
FUN_000091	IPR005324 Ribosomal protein S5, C-terminal;IPR005712 Ribosomal protein S5, bacterial-type;IPR013810 Ribosomal protein S5, N-terminal;IPR014721 Ribosomal protein S5 domain 2-type fold, subgroup;IPR018192 Ribosomal protein S5, N-terminal, conserved site;IPR020568 Ribosomal protein S5 domain 2-type fold
FUN_000092	IPR003613 U-box domain;IPR013083 Zinc finger, RING/FYVE/PHD-type
FUN_000093	IPR008146 Glutamine synthetase, catalytic domain;IPR014746 Glutamine synthetase/guanido kinase, catalytic domain;IPR036651 Glutamine synthetase, N-terminal domain superfamily
FUN_000094	
FUN_000095	IPR004827 Basic-leucine zipper domain
FUN_000096	
FUN_000097	
FUN_000098	
FUN_000099	IPR001126 UmuC domain;IPR017961 DNA polymerase, Y-family, little finger domain;IPR022880 DNA polymerase IV;IPR024728 DNA polymerase type-Y, HhH motif;IPR036775 DNA polymerase, Y-family, little finger domain superfamily;IPR043128 Reverse transcriptase/Diguanylate cyclase domain
FUN_000100	
FUN_000101	
FUN_000102	
FUN_000103	
FUN_000104	IPR000648 Oxysterol-binding protein;IPR037239 Oxysterol-binding protein superfamily
FUN_000105	IPR007213 Methyltransferase Ppm1/Ppm2/Tcmp;IPR011610 S-adenosyl-L-methionine-dependent methyltransferase, putative;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000106	
FUN_000107	
FUN_000108	
FUN_000109	IPR003439 ABC transporter-like, ATP-binding domain;IPR003593 AAA+ ATPase domain;IPR013525 ABC-2 type transporter;IPR017871 ABC transporter-like, conserved site;IPR027417 P-loop containing nucleoside triphosphate hydrolase
FUN_000110	
FUN_000111	IPR012942 SRR1-like domain
FUN_000112	IPR000073 Alpha/beta hydrolase fold-1;IPR029058 Alpha/Beta hydrolase fold
FUN_000113	IPR012936 Endoplasmic reticulum vesicle transporter, C-terminal;IPR013766 Thioredoxin domain;IPR017937 Thioredoxin, conserved site;IPR036249 Thioredoxin-like superfamily;IPR039542 Endoplasmic reticulum vesicle transporter, N-terminal
FUN_000114	IPR000911 Ribosomal protein L11/L12;IPR020783 Ribosomal protein L11, C-terminal;IPR020784 Ribosomal protein L11, N-terminal;IPR020785 Ribosomal protein L11, conserved site;IPR036769 Ribosomal protein L11, C-terminal domain superfamily;IPR036796 Ribosomal protein L11/L12, N-terminal domain superfamily
FUN_000115	IPR004639 Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase;IPR005814 Aminotransferase class-III;IPR015421 Pyridoxal phosphate-dependent transferase, major domain;IPR015422 Pyridoxal phosphate-dependent transferase, small domain;IPR015424 Pyridoxal phosphate-dependent transferase
FUN_000116	IPR001748 Pre-mRNA-splicing factor BUD31
FUN_000117	
FUN_000118	IPR008183 Aldose 1-/Glucose-6-phosphate 1-epimerase;IPR011013 Galactose mutarotase-like domain superfamily;IPR014718 Glycoside hydrolase-type carbohydrate-binding;IPR015443 Aldose 1-epimerase
FUN_000119	IPR004827 Basic-leucine zipper domain
FUN_000120	
FUN_000121	IPR003656 Zinc finger, BED-type;IPR013087 Zinc finger C2H2-type;IPR036236 Zinc finger C2H2 superfamily
FUN_000122	IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR017986 None;IPR019775 WD40 repeat, conserved site;IPR020472 G-protein beta WD-40 repeat;IPR022052 Histone-binding protein RBBP4, N-terminal;IPR036322 WD40-repeat-containing domain superfamily
FUN_000123	
FUN_000124	
FUN_000125	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily
FUN_000126	IPR014720 Double-stranded RNA-binding domain
FUN_000127	IPR003439 ABC transporter-like, ATP-binding domain;IPR003593 AAA+ ATPase domain;IPR011527 ABC transporter type 1, transmembrane domain;IPR017871 ABC transporter-like, conserved site;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR036640 ABC transporter type 1, transmembrane domain superfamily
FUN_000128	
FUN_000129	IPR001296 Glycosyl transferase, family 1
FUN_000130	
FUN_000131	IPR006813 Glycosyl transferase, family 17
FUN_000132	
FUN_000133	IPR000782 FAS1 domain;IPR036378 FAS1 domain superfamily
FUN_000134	IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000135	
FUN_000136	
FUN_000137	IPR007577 Glycosyltransferase, DXD sugar-binding motif;IPR029044 Nucleotide-diphospho-sugar transferases;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000138	IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000139	IPR019378 GDP-fucose protein O-fucosyltransferase
FUN_000140	IPR014030 Beta-ketoacyl synthase, N-terminal;IPR014031 Beta-ketoacyl synthase, C-terminal;IPR016039 Thiolase-like;IPR017568 3-oxoacyl-[acyl-carrier-protein] synthase 2;IPR018201 Beta-ketoacyl synthase, active site;IPR020841 Polyketide synthase, beta-ketoacyl synthase domain
FUN_000141	
FUN_000142	IPR000504 RNA recognition motif domain;IPR012677 Nucleotide-binding alpha-beta plait domain superfamily;IPR035979 RNA-binding domain superfamily
FUN_000143	IPR007120 DNA-directed RNA polymerase, subunit 2, hybrid-binding domain;IPR007121 RNA polymerase, beta subunit, conserved site;IPR007641 RNA polymerase Rpb2, domain 7;IPR007642 RNA polymerase Rpb2, domain 2;IPR007644 RNA polymerase, beta subunit, protrusion;IPR007645 RNA polymerase Rpb2, domain 3;IPR009674 DNA-directed RNA polymerase I subunit RPA2, domain 4;IPR015712 DNA-directed RNA polymerase, subunit 2;IPR037034 RNA polymerase Rpb2, domain 2 superfamily
FUN_000144	
FUN_000145	IPR001025 Bromo adjacent homology (BAH) domain;IPR001525 C-5 cytosine methyltransferase;IPR017198 DNA (cytosine-5)-methyltransferase 1-like;IPR018117 DNA methylase, C-5 cytosine-specific, active site;IPR022702 DNA (cytosine-5)-methyltransferase 1, replication foci domain;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily;IPR031303 DNA methylase, C-5 cytosine-specific, conserved site;IPR043151 Bromo adjacent homology (BAH) domain superfamily
FUN_000146	
FUN_000147	
FUN_000148	IPR022751 Alpha-mannosyltransferase;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000149	
FUN_000150	IPR008630 Glycosyltransferase 34
FUN_000151	IPR040911 Exostosin, GT47 domain
FUN_000152	IPR006598 Glycosyl transferase CAP10 domain
FUN_000153	IPR008630 Glycosyltransferase 34
FUN_000154	IPR001503 Glycosyl transferase family 10;IPR038577 GT10-like, C-terminal domain superfamily
FUN_000155	IPR021047 Mannosyltransferase 1, CMT1
FUN_000156	
FUN_000157	
FUN_000158	
FUN_000159	IPR021838 Protein of unknown function DUF3431
FUN_000160	
FUN_000161	IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000162	IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000163	IPR002654 Glycosyl transferase, family 25
FUN_000164	
FUN_000165	IPR006598 Glycosyl transferase CAP10 domain
FUN_000166	
FUN_000167	
FUN_000168	IPR001680 WD40 repeat;IPR015943 WD40/YVTN repeat-like-containing domain superfamily;IPR017986 None;IPR019775 WD40 repeat, conserved site;IPR036322 WD40-repeat-containing domain superfamily
FUN_000169	IPR000904 Sec7 domain;IPR016024 Armadillo-type fold;IPR023394 Sec7, C-terminal domain superfamily;IPR032691 Mon2/Sec7/BIG1-like, HUS domain;IPR035999 Sec7 domain superfamily
FUN_000170	IPR004000 Actin family;IPR004001 Actin, conserved site;IPR020902 Actin/actin-like conserved site;IPR043129 ATPase, nucleotide binding domain
FUN_000171	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily
FUN_000172	IPR000133 ER lumen protein retaining receptor
FUN_000173	
FUN_000174	IPR006628 Purine-rich element binding protein family
FUN_000175	
FUN_000176	
FUN_000177	IPR009457 THH1/TOM1/TOM3 domain
FUN_000178	IPR001806 Small GTPase;IPR005225 Small GTP-binding protein domain;IPR027417 P-loop containing nucleoside triphosphate hydrolase
FUN_000179	
FUN_000180	
FUN_000181	IPR000008 C2 domain;IPR010734 Copine, C-terminal;IPR035892 C2 domain superfamily
FUN_000182	
FUN_000183	
FUN_000184	
FUN_000185	
FUN_000186	
FUN_000187	
FUN_000188	
FUN_000189	IPR025714 Methyltransferase domain;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000190	IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000191	
FUN_000192	IPR040911 Exostosin, GT47 domain
FUN_000193	
FUN_000194	
FUN_000195	
FUN_000196	
FUN_000197	IPR021047 Mannosyltransferase 1, CMT1
FUN_000198	
FUN_000199	IPR021047 Mannosyltransferase 1, CMT1
FUN_000200	IPR022751 Alpha-mannosyltransferase;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000201	IPR001509 NAD-dependent epimerase/dehydratase;IPR028614 GDP-L-fucose synthase/GDP-L-colitose synthase;IPR036291 NAD(P)-binding domain superfamily
FUN_000202	IPR016040 NAD(P)-binding domain;IPR036291 NAD(P)-binding domain superfamily
FUN_000203	IPR007577 Glycosyltransferase, DXD sugar-binding motif;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000204	
FUN_000205	
FUN_000206	IPR000504 RNA recognition motif domain;IPR012677 Nucleotide-binding alpha-beta plait domain superfamily;IPR035979 RNA-binding domain superfamily
FUN_000207	IPR001878 Zinc finger, CCHC-type;IPR005162 Retrotransposon gag domain;IPR036875 Zinc finger, CCHC-type superfamily
FUN_000208	
FUN_000209	
FUN_000210	IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000211	
FUN_000212	IPR040911 Exostosin, GT47 domain
FUN_000213	
FUN_000214	
FUN_000215	
FUN_000216	
FUN_000217	
FUN_000218	
FUN_000219	IPR013087 Zinc finger C2H2-type;IPR036236 Zinc finger C2H2 superfamily
FUN_000220	
FUN_000221	
FUN_000222	
FUN_000223	
FUN_000224	
FUN_000225	
FUN_000226	
FUN_000227	
FUN_000228	IPR012392 Very-long-chain 3-ketoacyl-CoA synthase;IPR013601 FAE1/Type III polyketide synthase-like protein;IPR013747 Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal;IPR016039 Thiolase-like
FUN_000229	
FUN_000230	IPR012392 Very-long-chain 3-ketoacyl-CoA synthase;IPR013601 FAE1/Type III polyketide synthase-like protein;IPR013747 Beta-ketoacyl-[acyl-carrier-protein] synthase III, C-terminal;IPR016039 Thiolase-like
FUN_000231	
FUN_000232	
FUN_000233	
FUN_000234	IPR002654 Glycosyl transferase, family 25
FUN_000235	IPR008630 Glycosyltransferase 34
FUN_000236	IPR007657 Glycosyltransferase 61
FUN_000237	IPR001480 Bulb-type lectin domain;IPR011043 Galactose oxidase/kelch, beta-propeller;IPR013783 Immunoglobulin-like fold;IPR014756 Immunoglobulin E-set;IPR015202 Galactose oxidase-like, Early set domain;IPR036426 Bulb-type lectin domain superfamily;IPR037293 Galactose oxidase, central domain superfamily
FUN_000238	
FUN_000239	
FUN_000240	IPR007577 Glycosyltransferase, DXD sugar-binding motif;IPR022751 Alpha-mannosyltransferase;IPR029044 Nucleotide-diphospho-sugar transferases;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000241	IPR001173 Glycosyltransferase 2-like;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000242	
FUN_000243	
FUN_000244	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR020904 Short-chain dehydrogenase/reductase, conserved site;IPR036291 NAD(P)-binding domain superfamily
FUN_000245	IPR002347 Short-chain dehydrogenase/reductase SDR;IPR020904 Short-chain dehydrogenase/reductase, conserved site;IPR036291 NAD(P)-binding domain superfamily
FUN_000246	
FUN_000247	IPR000172 Glucose-methanol-choline oxidoreductase, N-terminal;IPR007867 Glucose-methanol-choline oxidoreductase, C-terminal;IPR012400 Long-chain-alcohol oxidase;IPR036188 FAD/NAD(P)-binding domain superfamily
FUN_000248	
FUN_000249	IPR001173 Glycosyltransferase 2-like;IPR029044 Nucleotide-diphospho-sugar transferases
FUN_000250	
FUN_000251	
FUN_000252	IPR006461 PLAC8 motif-containing protein
FUN_000253	
FUN_000254	
FUN_000255	IPR011009 Protein kinase-like domain superfamily
FUN_000256	IPR001375 Peptidase S9, prolyl oligopeptidase, catalytic domain;IPR002470 Peptidase S9A, prolyl oligopeptidase;IPR023302 Peptidase S9A, N-terminal domain;IPR029058 Alpha/Beta hydrolase fold
FUN_000257	
FUN_000258	IPR001461 Aspartic peptidase A1 family;IPR021109 Aspartic peptidase domain superfamily;IPR032799 Xylanase inhibitor, C-terminal;IPR033121 Peptidase family A1 domain;IPR034164 Pepsin-like domain
FUN_000259	
FUN_000260	
FUN_000261	IPR000719 Protein kinase domain;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000262	
FUN_000263	IPR000719 Protein kinase domain;IPR001611 Leucine-rich repeat;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site;IPR032675 Leucine-rich repeat domain superfamily
FUN_000264	
FUN_000265	
FUN_000266	
FUN_000267	
FUN_000268	IPR003406 Glycosyl transferase, family 14
FUN_000269	
FUN_000270	IPR000719 Protein kinase domain;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site
FUN_000271	
FUN_000272	IPR002213 UDP-glucuronosyl/UDP-glucosyltransferase
FUN_000273	IPR006342 Methyltransferase FkbM;IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily
FUN_000274	IPR007065 HPP
FUN_000275	IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily
FUN_000276	IPR001447 Arylamine N-acetyltransferase;IPR038765 Papain-like cysteine peptidase superfamily
FUN_000277	
FUN_000278	IPR000719 Protein kinase domain;IPR001245 Serine-threonine/tyrosine-protein kinase, catalytic domain;IPR001611 Leucine-rich repeat;IPR003591 Leucine-rich repeat, typical subtype;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR013210 Leucine-rich repeat-containing N-terminal, plant-type;IPR017441 Protein kinase, ATP binding site;IPR032675 Leucine-rich repeat domain superfamily
FUN_000279	
FUN_000280	IPR004813 Oligopeptide transporter, OPT superfamily
FUN_000281	IPR000719 Protein kinase domain;IPR001245 Serine-threonine/tyrosine-protein kinase, catalytic domain;IPR001611 Leucine-rich repeat;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR013210 Leucine-rich repeat-containing N-terminal, plant-type;IPR017441 Protein kinase, ATP binding site;IPR032675 Leucine-rich repeat domain superfamily
FUN_000282	IPR001447 Arylamine N-acetyltransferase;IPR038765 Papain-like cysteine peptidase superfamily
FUN_000283	IPR000719 Protein kinase domain;IPR001245 Serine-threonine/tyrosine-protein kinase, catalytic domain;IPR001611 Leucine-rich repeat;IPR003591 Leucine-rich repeat, typical subtype;IPR008271 Serine/threonine-protein kinase, active site;IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site;IPR032675 Leucine-rich repeat domain superfamily
FUN_000284	
FUN_000285	
FUN_000286	
FUN_000287	
FUN_000288	
FUN_000289	
FUN_000290	
FUN_000291	IPR016084 Haem oxygenase-like, multi-helical;IPR024423 Protein of unknown function DUF3050
FUN_000292	
FUN_000293	IPR014720 Double-stranded RNA-binding domain
FUN_000294	IPR004947 Deoxyribonuclease II
FUN_000295	IPR001568 Ribonuclease T2-like;IPR036430 Ribonuclease T2-like superfamily
FUN_000296	IPR000960 Flavin monooxygenase FMO;IPR020946 Flavin monooxygenase-like;IPR036188 FAD/NAD(P)-binding domain superfamily;IPR036291 NAD(P)-binding domain superfamily
FUN_000297	IPR001227 Acyl transferase domain superfamily;IPR006162 Phosphopantetheine attachment site;IPR009081 Phosphopantetheine binding ACP domain;IPR011032 GroES-like superfamily;IPR013751 Beta-ketoacyl-[acyl-carrier-protein] synthase III, N-terminal;IPR013968 Polyketide synthase, ketoreductase domain;IPR014030 Beta-ketoacyl synthase, N-terminal;IPR014031 Beta-ketoacyl synthase, C-terminal;IPR014043 Acyl transferase;IPR016035 Acyl transferase/acyl hydrolase/lysophospholipase;IPR016036 Malonyl-CoA ACP transacylase, ACP-binding;IPR016039 Thiolase-like;IPR018201 Beta-ketoacyl synthase, active site;IPR020801 None;IPR020807 Polyketide synthase, dehydratase domain;IPR020841 Polyketide synthase, beta-ketoacyl synthase domain;IPR020843 Polyketide synthase, enoylreductase domain;IPR032821 Polyketide synthase, C-terminal extension;IPR036291 NAD(P)-binding domain superfamily;IPR036736 ACP-like superfamily;IPR042104 Polyketide synthase, dehydratase domain superfamily
FUN_000298	
FUN_000299	
FUN_000300	
FUN_000301	
FUN_000302	IPR004947 Deoxyribonuclease II
